Date,ADI,AMD,ASML,AVGO,INTC,KLAC,LRCX,MCHP,MRVL,MU,NVDA,NXPI,QCOM,TSM,TXN
2017-03-01 00:00:00,72.88962555,14.55000019,124.5586395,176.4735413,30.38573074,84.75416565,116.3583603,33.62592697,14.45752239,28.55002403,26.8824482,96.73199463,48.11952591,27.35540009,68.7070694
2017-04-01 00:00:00,67.77533722,13.30000019,123.6676102,178.7716675,30.45313644,87.56235504,131.8065643,34.44630051,14.28505039,27.33492279,25.7398243,98.83489227,45.09842682,27.54698181,67.53012848
2017-05-01 00:00:00,76.27840424,11.18999958,125.0280533,193.8872223,30.41942978,92.71518707,141.1972961,37.96476364,16.39641762,30.39737892,35.62361908,102.7135086,48.06079102,29.45453644,70.78948975
2017-06-01 00:00:00,69.19844818,12.47999954,123.4366455,188.6814117,28.63436699,82.02000427,128.694519,35.33673859,15.71164799,29.49840164,35.71300507,102.2929382,46.79679489,29.12133217,66.01811981
2017-07-01 00:00:00,70.67170715,13.60999966,142.40065,200.5507202,30.10257721,83.02384949,145.5134583,36.64619446,14.85157299,27.77947426,40.14750671,103.1153717,45.07644653,30.93031693,69.83693695
2017-08-01 00:00:00,74.83991241,13,148.0652466,204.9494019,29.7631073,83.97393799,151.4632263,39.7412529,17.0945797,31.5828476,41.85953903,105.5733948,44.29677963,31.7990551,71.50588989
2017-09-01 00:00:00,77.07606506,12.75,162.1698761,197.2008972,32.56023026,95.64759827,168.8562164,41.28320694,17.08503532,38.8537178,44.20335007,105.6948853,44.41898346,32.29791641,77.39420319
2017-10-01 00:00:00,82.11250305,10.98999977,171.2161102,215.4532471,38.89613724,98.25534821,190.8335114,43.59153366,17.62909126,43.77341461,51.13663483,109.3959579,43.70781326,36.40935135,83.48111725
2017-11-01 00:00:00,77.44477081,10.89000034,166.2620087,226.9071198,38.34034729,92.25481415,175.9745331,40.00028229,21.39276505,41.87665939,49.62832642,105.9752884,56.84329605,34.06119537,84.53670502
2017-12-01 00:00:00,80.49378967,10.27999973,164.6516724,209.7303619,39.70290756,95.36038971,168.4170074,40.57085037,20.55965042,40.62203979,47.87878036,109.4333344,55.31814194,34.10420227,90.74945068
